time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
0.30000000000000004,0.02529374162135635,-0.7677515351354401,0.0026884084646869727,0.011644080762389711,0.0348129348712056,0.005078976903929937,-0.01813758490103691,0.25452805164914816,0.17754256918656508,0.007639793620599189,0.11383797615112426,0.32635631560991796,0.05411833911347519,-0.17149963343637897,1.6804673466036963,1.1697918138241774,-0.19990026565414198,0.7125685233382429,1.8640583674910858,0.396224190455405,-0.9946632130953322
0.4,0.05988807940255725,-0.7436450173762881,0.00189369239411874,0.02684800186539634,0.07712813051151046,0.012718769005537922,-0.04045993689012671,0.4440634695472474,0.3091182687276186,-0.02961591244854811,0.1924993176283725,0.5224705286361122,0.10106560040665963,-0.2763010842018507,2.0815748262831297,1.440829008249768,-0.5641050276680641,0.8477977210229781,2.0155148214806937,0.5391043399113746,-1.075661813838109
0.5,0.1151273275304251,-0.7052526606513752,-0.004617840258266462,0.050458756663309706,0.13938980293560727,0.02572151286505243,-0.07340648201559291,0.664020465620936,0.46082020601873097,-0.1082070385820525,0.28055574196774097,0.7211263431455412,0.16081665661797717,-0.3813433609068272,2.278662951945557,1.5658132100797157,-1.018795329410454,0.8980110678870683,1.9178174734971432,0.6483748436400706,-0.9985027133583716
0.6000000000000001,0.19294015421879446,-0.6513492491248984,-0.02135095223552677,0.08296931974527051,0.2206456456972714,0.045161427421274505,-0.11620704590422629,0.8912884565234732,0.6164098419949311,-0.23471796777358722,0.3688941495092475,0.8986854942823203,0.22888006496487798,-0.4707696504265473,2.2213880755904594,1.5153857283687078,-1.5136522841649913,0.8522855200174743,1.6003623191541771,0.7019863934191324,-0.7648852915800841
0.7000000000000001,0.2927330812613679,-0.5824458207124894,-0.053209008198530874,0.12392029881293339,0.3177631182411237,0.07156002410682119,-0.16653931869473548,1.0989633855202539,0.7577564960567581,-0.4104751705386531,0.4477203409040298,1.0355274082782755,0.2987705447619392,-0.529642274162235,1.8850624310711934,1.281497118453407,-1.9946891330876482,0.7080883092751948,1.1132649676464066,0.6825288724509017,-0.3913799636932145
0.8,0.4111467070715422,-0.5008690663256231,-0.1049583952937691,0.17187512571339214,0.42592568034923106,0.10471390311238304,-0.22069345267391577,1.2591209134086017,0.8670554632798047,-0.6314369292947178,0.507435367136951,1.117840421294181,0.3625903885098415,-0.5453743052900534,1.2743542313024263,0.87871377960878,-2.4093722967732556,0.4718954168912708,0.5214856917996633,0.579495806008314,0.09189389259849179
0.9,0.5421030865579604,-0.4106167873028016,-0.18070722672968653,0.22448466964747474,0.539276444392101,0.14359106090898455,-0.2738711479067196,1.3458184575192682,0.9290445677787253,-0.8885843205570065,0.5395343561241663,1.1387583972264543,0.41180780405575773,-0.5089677379582075,0.4241179168009339,0.3428796031845831,-2.711445873068092,0.15901521566233223,-0.10227497579847022,0.39092143576294536,0.6437866437746621
1.0,0.6771524538610838,-0.31700267294359674,-0.28344619689715067,0.2786395018914565,0.6516387998443233,0.18631192020213022,-0.320594222068582,1.33802978295634,0.9329594644568431,-1.16876080543185,0.5374473090214997,1.0987549665113232,0.4381593691223836,-0.4159486831272661,-0.6027843857510025,-0.27272223202334556,-2.865010031022167,-0.2073911117742388,-0.6851954290186046,0.12419995520743643,1.2156148074133
1.1,0.8060976262149011,-0.22612842420710333,-0.4146920645044351,0.3307000697055133,0.7572384435412953,0.23022317866641484,-0.3551879553315632,1.2222162743606093,0.8739967645899838,-1.4558666112731529,0.49724414762140534,1.0052812799745965,0.4345883877695098,-0.26691643786456154,-1.7205223285309383,-0.9032824953791332,-2.8474860858873035,-0.5980284128375548,-1.1617201708837004,-0.2040276313364907,1.7553306347806898
1.2000000000000002,0.9178460490234082,-0.1442418045845908,-0.5742632049050469,0.3767877013998149,0.8513535361087781,0.2720633236755635,-0.3722978181945553,0.9942678030220741,0.7541087038321952,-1.732282967047258,0.418136151502725,0.8717064639828249,0.39612386445834424,-0.06765689510946749,-2.827773906568408,-1.4797961949860845,-2.6512179147095623,-0.9797937565191526,-1.480007651336716,-0.5689444300882757,2.212002046801561
